SKU,Producto,Precio neto exworks ,PVP Recomendado,Descripción,Ancho (cm),Fondo (cm),Alto (cm),Imagen
557-0796,HASTON-3,624,990,El sofá HASTON de 3 plazas aporta amplitud y elegancia al salón exterior. Sus cojines generosos y diseño equilibrado invitan a disfrutar de largas reuniones al aire libre.,188,62,115,https://hevea.es/mpcrm/imgs/uploads/haston%203%20plazas.jpg
557-0798,HASTON-7,1225,1945,"El Set HASTON 7 incluye sofá de 2 plazas, sillones y mesa de centro, formando un conjunto moderno y funcional. Perfecto para crear un ambiente exterior acogedor y armonioso.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543115_haston%207.jpg
557-0799,HASTON-8,1433,2275,"El Set HASTON 8 ofrece una composición amplia con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar confort, resistencia y estilo en terrazas actuales.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543115_haston%208.jpg
557-010146,ACAPULCO-1,306,485,El sillón ACAPULCO-1 combina diseño contemporáneo y comodidad en una pieza versátil para exteriores. Ideal como asiento independiente o complemento dentro de un conjunto moderno.,64,66,70,https://hevea.es/mpcrm/imgs/uploads/Dise%C3%B1o%20sin%20t%C3%ADtulo%20(82).jpg
557-010148,ACAPULCO-2,438,695,"El sofá ACAPULCO de 2 plazas aporta equilibrio entre diseño y funcionalidad. Compacto y elegante, es perfecto para terrazas que buscan confort sin renunciar al estilo.",131,66,70,https://hevea.es/mpcrm/imgs/uploads/sofa%20acapulco%20(2).jpg
557-010147,ACAPULCO-3,599,950,El sofá ACAPULCO de 3 plazas ofrece amplitud y presencia visual en el espacio exterior. Su diseño moderno y asiento confortable lo convierten en el centro del conjunto.,185,66,70,https://hevea.es/mpcrm/imgs/uploads/sofa%20acapulco%20(1).jpg
557-010153,ACAPULCO-7,1222,275,La mesa de centro 90 HPL combina resistencia y diseño minimalista. Su tablero HPL está preparado para soportar las condiciones exteriores manteniendo una estética impecable.,90,50,40,https://hevea.es/mpcrm/imgs/uploads/mesa%20acapulco%20estandar%20(2).jpg
557-010154,ACAPULCO-8,1440,365,La mesa de centro 120 HPL ofrece una superficie amplia y duradera ideal para conjuntos exteriores. Su diseño limpio y materiales resistentes garantizan funcionalidad y estilo.,120,60,40,https://hevea.es/mpcrm/imgs/uploads/mesa%20acapulco%20estandar%20(1).jpg
557-010149,PÉRGOLA VENECIA,1065,1940,"El Set ACAPULCO 7 incluye sofá de 2 plazas, sillones y mesa de centro en una composición equilibrada y moderna. Perfecto para crear terrazas acogedoras y funcionales.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543673_ACAPULCO%207.jpg
557-010147,MANHATAN-1,243,2285,"El Set ACAPULCO 8 ofrece un conjunto amplio con sofá de 3 plazas, sillones y mesa de centro. Diseñado para disfrutar del exterior con comodidad y estilo.",,,,https://hevea.es/mpcrm/imgs/uploads/1739543673_ACAPULCO%208.jpg
557-0919,MANHATAN-2,372,1690,"La Pérgola VENECIA crea un espacio protegido y elegante en jardines y terrazas. Su estructura robusta y diseño moderno aportan sombra, confort y sofisticación al ambiente exterior.",300,300,250,https://hevea.es/mpcrm/imgs/uploads/1739809400_P%C3%89RGOLA%20VENECIA%20-4X3%20BLANCO.jpg
557-01951,MANHATAN-3,536,385,"El sillón MANHATAN-1 destaca por su diseño urbano y contemporáneo. Ideal para terrazas modernas, combina comodidad y resistencia en una pieza elegante.",66,66,70,https://hevea.es/mpcrm/imgs/uploads/manhatan%20(3).jpg
557-01952,MANHATAN-7,1036,590,"El sofá MANHATAN de 2 plazas ofrece equilibrio entre estilo y funcionalidad. Compacto y confortable, es perfecto para crear espacios exteriores actuales.",133,66,70,https://hevea.es/mpcrm/imgs/uploads/manhatan%20(1).jpg
557-01953,MANHATAN-8,1251,850,El sofá MANHATAN de 3 plazas aporta amplitud y carácter al salón exterior. Su diseño moderno y cojines confortables invitan al descanso y la convivencia.,187,66,70,https://hevea.es/mpcrm/imgs/uploads/manhatan%20(2).jpg
557-01954,LOIRA-7,1509,1645,"El Set MANHATAN 7 incluye sofá de 2 plazas, sillones y mesa de centro, formando un conjunto equilibrado ideal para terrazas contemporáneas.",,,,https://hevea.es/mpcrm/imgs/uploads/1739544586_MANHATAN-07.jpg
557-01955,LOIRA-8,1975,1985,"El Set MANHATAN 8 ofrece una solución amplia con sofá de 3 plazas, sillones y mesa de centro. Diseñado para aportar estilo urbano y confort en exterior.",,,,https://hevea.es/mpcrm/imgs/uploads/1739544586_MANHATAN_8.jpg
557-010705,LOIRA-30,2199,2395,"El Set LOIRA-7 HPL es una rinconera moderna con tablero HPL resistente. Perfecta para optimizar el espacio exterior y crear un ambiente amplio, cómodo y sofisticado.",,,,https://hevea.es/mpcrm/imgs/uploads/1739795165_loira%20rinconera%207.jpg
557-010026,ADEL-7,1342,3135,El Set LOIRA-8 HPL ofrece una composición de esquina amplia y elegante. Su diseño contemporáneo y materiales resistentes garantizan durabilidad y confort en exteriores.,,,,https://hevea.es/mpcrm/imgs/uploads/1739795165_rinconera%20loira%208.jpg
557-010123,ADEL-30,1988,3490,"El Set LOIRA-30 HPL destaca por su gran formato y estilo moderno. Ideal para terrazas espaciosas, combina amplitud, funcionalidad y resistencia.",,,,https://hevea.es/mpcrm/imgs/uploads/1739805444_loira%2030.jpg
557-1164,CORCEGA-135x90,343,2130,El Set ADEL-7 es una rinconera diseñada para crear un salón exterior amplio y acogedor. Su estructura resistente y diseño contemporáneo ofrecen comodidad y elegancia en jardines y terrazas.,,,,https://hevea.es/mpcrm/imgs/uploads/1739805512_adel%207.jpg
557-010048,CORCEGA-160x90,375,3155,"El Set ADEL-30 es una rinconera de gran formato diseñada para crear un auténtico salón exterior amplio y sofisticado. Su distribución en esquina optimiza el espacio y favorece la conversación, convirtiéndose en el punto central de terrazas y jardines. Su estructura resistente y cojines confortables garantizan durabilidad y una experiencia de descanso superior al aire libre.",,,,https://hevea.es/mpcrm/imgs/uploads/1739806050_adel%2030.jpg
557-010177,SILLA JANEIRO 3,104,545,"La mesa comedor CÓRCEGA 135x90 HPL combina diseño moderno y alta resistencia para exteriores. Su tablero HPL ofrece gran durabilidad frente a la intemperie y fácil mantenimiento, mientras que su formato rectangular es ideal para reuniones cómodas en terrazas y jardines.",135,90,90,https://hevea.es/mpcrm/imgs/uploads/mesa%20corcega.png
123-0017,SILLA CÓRCEGA 3,91,595,"La mesa CÓRCEGA 160x90 HPL amplía el espacio de comedor exterior con una superficie generosa y resistente. Su tablero HPL garantiza durabilidad y estabilidad, perfecta para disfrutar de comidas al aire libre con familia y amigos.",160,90,90,https://hevea.es/mpcrm/imgs/uploads/corcega%20set.jpeg
123-0002,MUNDRA Ø100,302,165,"La silla JANEIRO 3 destaca por su diseño contemporáneo y estructura resistente para uso exterior. Cómoda y estilizada, es ideal para completar conjuntos de comedor aportando equilibrio entre funcionalidad y estética moderna.",55,50,107,https://hevea.es/mpcrm/imgs/uploads/1740126347_sillon-janeiro-3-antracita-ALTA.png
123-0001,MUNDRA 150,347,145,"La silla CÓRCEGA 3 combina líneas limpias y resistencia estructural. Diseñada para exteriores, ofrece una sentada cómoda y estable, perfecta para acompañar mesas de comedor en terrazas actuales.",55,50,90,https://hevea.es/mpcrm/imgs/uploads/1740126338_sillon-corcega-3-antracita_ALTA_SF.png
123-0013,AVALON-3,60,480,"La mesa MUNDRA Ø100 HPL aporta un diseño redondo y acogedor al comedor exterior. Su tablero HPL resistente y su estructura sólida garantizan durabilidad, siendo ideal para espacios más compactos sin renunciar al estilo.",100,90,76,https://hevea.es/mpcrm/imgs/uploads/1739982011_mundra%20100.jpg
557-011019,BRESCIA-12,101,550,La mesa MUNDRA 150 HPL ofrece una superficie amplia y resistente para comedores exteriores. Su diseño moderno y materiales preparados para exterior la convierten en una opción práctica y elegante.,150,90,76,https://hevea.es/mpcrm/imgs/uploads/1739982968_mundra%20hpl%20150.jpg
123-0011,PARASOL VIENA 300,189,95,El sillón AVALON-3 combina comodidad y diseño contemporáneo en una pieza versátil para exterior. Su estructura resistente y asiento confortable lo convierten en el complemento perfecto para zonas de comedor o relax.,58,57,100,https://hevea.es/mpcrm/imgs/uploads/sillon%20avalon.png
123-0038,PARASOL SAMSON Ø350,561,160,La tumbona BRESCIA-12 está diseñada para ofrecer máximo confort bajo el sol. Su estructura resistente y diseño ergonómico permiten disfrutar de largas jornadas de descanso en jardines y zonas de piscina.,53,136,105,https://hevea.es/mpcrm/imgs/uploads/tumbona%20brescia.jpg
928-0016,PARASOL CARACAS 300,85,300,El parasol VIENA 300 proporciona amplia sombra y protección solar en terrazas y jardines. Su diseño elegante y estructura sólida lo convierten en un complemento funcional y decorativo.,300Ø,,,https://hevea.es/mpcrm/imgs/uploads/1739790589_VIENA%20300.jpg
557-1682,BASE PARASOL 25KG,41,890,"El parasol SAMSON Ø350 ofrece gran cobertura gracias a su amplio diámetro. Ideal para proteger zonas de comedor o descanso, combina resistencia y diseño moderno.",350Ø,,,https://hevea.es/mpcrm/imgs/uploads/1739789862_samson%20350.jpg
928-0010,JUEGO LOSAS,113,135,"El parasol CARACAS 300 aporta color y funcionalidad al espacio exterior. Diseñado para proporcionar sombra efectiva, es perfecto para terrazas dinámicas y modernas.",300Ø,,,https://hevea.es/mpcrm/imgs/uploads/1739790899_CARACAS%20250%20-%20300%20NARANJA.jpg
921-0026,BALANCÍN SIDNEY,939,65,"La base de parasol 25kg garantiza estabilidad y seguridad para sombrillas de exterior. Compacta y resistente, es el complemento esencial para asegurar el parasol en todo momento.",,,,https://hevea.es/mpcrm/imgs/uploads/1739791182_base%2025-40.png
921-0009,YULIEN BANCO,1509,180,"El juego de 4 losas de cemento GRANITE proporciona el peso necesario para bases de parasol de gran formato. Diseñadas para máxima estabilidad, aseguran firmeza incluso en condiciones exteriores exigentes.",,,,https://hevea.es/mpcrm/imgs/uploads/1739790529_granite%20SAMSON-02.jpg
557-010143,GULLIVER BANCO,221,1490,El balancín SIDNEY ofrece una experiencia de relax única en jardines y terrazas. Su diseño cómodo y estructura resistente lo convierten en el lugar perfecto para desconectar al aire libre.,148,194,207,https://hevea.es/mpcrm/imgs/uploads/1739806848_sidney.jpg
557-010947,SEVILLA BANCO,198,2395,"El banco YULIEN con mesa integrada es una solución práctica y funcional para exteriores. Ideal para zonas de picnic o jardines familiares, combina comodidad y utilidad en una sola pieza.",220,150,75,https://hevea.es/mpcrm/imgs/uploads/yulien%20banco%20picnic.png
557-010016,SEVILLA BANCO,198,350,"El banco GULLIVER destaca por su diseño sencillo y resistente. Perfecto para jardines y espacios públicos o privados, aporta funcionalidad y durabilidad.",150,49,90,https://hevea.es/mpcrm/imgs/uploads/1739809440_gullivert.png
557-011350,SEVILLA BANCO / SEVILLA BENCH / BANC SEVILLA,189,315,"El banco SEVILLA combina líneas clásicas y resistencia estructural. Ideal para crear zonas de descanso en exteriores, ofrece comodidad y estabilidad en cualquier entorno.",108,42,88,https://hevea.es/mpcrm/imgs/uploads/banco%20sevilla.png
